episode,timestep,reward
27,2000,-0.9778
53,4000,-1.0462
74,6000,-0.1952
91,8000,-0.1412
110,10000,0.1737
128,12000,0.8667
150,14000,0.8091
166,16000,0.9625
184,18000,1.3611
204,20000,0.945
219,22000,1.66
235,24000,2.3813
246,26000,2.3909
262,28000,2.6375
280,30000,2.6667
299,32000,2.4053
314,34000,2.2267
332,36000,2.1611
347,38000,2.5867
362,40000,3.6333
380,42000,2.3111
396,44000,3.075
414,46000,3.6389
432,48000,3.3722
448,50000,3.9187
465,52000,2.9941
482,54000,2.5765
501,56000,3.7526
519,58000,3.4556
539,60000,3.085
562,62000,2.3696
578,64000,3.0812
598,66000,3.6
617,68000,4.2737
633,70000,5.2625
655,72000,3.7045
673,74000,3.9667
689,76000,4.6625
705,78000,5.7687
727,80000,3.4045
747,82000,4.27
760,84000,5.6538
779,86000,4.4263
798,88000,4.1053
814,90000,6.2062
831,92000,5.1118
847,94000,6.2812
859,96000,8.0833
878,98000,5.6158
893,100000,6.34
914,102000,4.619
931,104000,5.7588
946,106000,7.6133
965,108000,4.8684
985,110000,5.85
1000,112000,7.0733
1016,114000,6.2312
1032,116000,5.6875
1048,118000,6.2562
1060,120000,9.075
1076,122000,6.8625
1088,124000,9.2417
1102,126000,7.85
1118,128000,7.275
1132,130000,7.4214
1145,132000,9.6077
1161,134000,7.0375
1174,136000,9.0154
1191,138000,7.5529
1207,140000,6.7187
1220,142000,8.8
1234,144000,9.8214
1251,146000,7.7882
1267,148000,6.275
1279,150000,10.1083
1290,152000,11.1273
1302,154000,10.6
1318,156000,8.475
1331,158000,9.8154
1346,160000,9.1133
1360,162000,8.1357
1373,164000,9.0615
1386,166000,9.6462
1399,168000,9.9846
1411,170000,10.675
1425,172000,9.2929
1438,174000,9.7538
1450,176000,10.1417
1463,178000,10.3308
1475,180000,10.0417
1489,182000,10.7214
1500,184000,11.6545
1514,186000,10.0786
1525,188000,12.9
1539,190000,10.7643
1552,192000,10.8615
1565,194000,11.0385
1579,196000,9.9071
1593,198000,10.1929
1607,200000,11.0
1619,202000,12.7333
1632,204000,10.9385
1643,206000,12.0727
1655,208000,12.7667
1667,210000,11.0417
1682,212000,9.6867
1697,214000,9.7267
1709,216000,12.275
1721,218000,12.4583
1740,220000,7.6789
1755,222000,11.0267
1766,224000,12.9091
1780,226000,11.0714
1792,228000,12.4417
1803,230000,14.2909
1819,232000,10.4687
1832,234000,11.4462
1847,236000,10.8733
1861,238000,11.5071
1875,240000,10.1071
1889,242000,12.4643
1902,244000,12.3385
1913,246000,14.7364
1923,248000,16.77
1937,250000,11.1357
1953,252000,10.7562
1965,254000,11.5667
1978,256000,11.9154
1991,258000,13.0154
2002,260000,14.9727
2013,262000,14.3909
2024,264000,14.2364
2036,266000,15.1833
2047,268000,14.1909
2057,270000,16.78
2069,272000,15.025
2081,274000,13.3417
2092,276000,15.7727
2105,278000,13.4692
2116,280000,15.0
2127,282000,15.9545
2140,284000,13.8385
2155,286000,10.4467
2165,288000,14.6
2177,290000,14.7
2190,292000,12.9846
2202,294000,15.1167
2212,296000,16.08
2226,298000,10.2214
2239,300000,12.5615
2251,302000,14.6583
2264,304000,13.4462
2276,306000,13.25
2288,308000,14.1167
2302,310000,12.7357
2312,312000,17.34
2322,314000,17.52
2333,316000,14.6091
2345,318000,15.5667
2355,320000,17.81
2365,322000,17.11
2376,324000,17.2364
2388,326000,15.7
2400,328000,13.85
2411,330000,16.0818
2423,332000,14.4583
2434,334000,14.5091
2446,336000,15.4833
2458,338000,14.9917
2470,340000,15.4167
2482,342000,13.2
2493,344000,17.5273
2505,346000,14.6167
2514,348000,16.9
2525,350000,17.5727
2537,352000,15.7
2551,354000,13.8286
2563,356000,15.2833
2575,358000,14.525
2586,360000,16.7
2598,362000,15.175
2611,364000,15.4692
2622,366000,17.1636
2634,368000,14.9833
2650,370000,13.0813
2662,372000,16.4
2672,374000,19.18
2685,376000,13.7692
2701,378000,11.7813
2715,380000,12.6714
2725,382000,18.88
2737,384000,17.1167
2748,386000,16.4818
2759,388000,17.3545
2775,390000,13.0813
2787,392000,15.9
2801,394000,13.8429
2813,396000,18.6083
2824,398000,17.9182
2835,400000,18.4091
2847,402000,17.5417
2859,404000,17.7083
2871,406000,16.55
2884,408000,14.7462
2897,410000,17.9692
2909,412000,17.25
2921,414000,16.925
2933,416000,17.7083
2944,418000,18.4364
2960,420000,12.7125
2973,422000,15.2385
2985,424000,16.6833
2996,426000,19.6364
3010,428000,14.5
3022,430000,16.9583
3034,432000,17.725
3045,434000,18.7182
3055,436000,18.86
3066,438000,20.5636
3078,440000,18.2417
3092,442000,15.4071
3105,444000,15.5231
3117,446000,17.0667
3129,448000,18.3583
3141,450000,17.9833
3156,452000,14.6067
3168,454000,17.4583
3179,456000,19.6455
3190,458000,19.1818
3205,460000,14.3267
3217,462000,16.9583
3229,464000,17.2667
3245,466000,12.3563
3256,468000,19.2545
3267,470000,17.9727
3278,472000,20.0
3292,474000,15.1357
3302,476000,18.55
3313,478000,20.1909
3324,480000,19.5545
3337,482000,16.5923
3349,484000,17.2
3362,486000,18.0538
3376,488000,14.4357
3388,490000,17.3
3402,492000,14.9571
3414,494000,16.725
3427,496000,16.4154
3439,498000,16.6833
3451,500000,19.5167
3462,502000,19.2455
3473,504000,20.3
3483,506000,20.9
3494,508000,19.6091
3506,510000,19.0
3516,512000,21.09
3526,514000,21.13
3536,516000,19.44
3548,518000,17.8917
3559,520000,20.6
3570,522000,20.3
3580,524000,20.3
3590,526000,21.79
3602,528000,17.5333
3613,530000,19.8545
3623,532000,20.57
3637,534000,15.3214
3649,536000,18.2833
3661,538000,17.6667
3673,540000,18.05
3684,542000,18.1
3696,544000,19.6167
3708,546000,18.3917
3718,548000,20.84
3728,550000,22.44
3738,552000,22.73
3749,554000,19.5636
3760,556000,19.4636
3771,558000,18.8727
3782,560000,20.7091
3796,562000,16.8286
3809,564000,16.6077
3822,566000,15.8692
3834,568000,19.025
3845,570000,19.9364
3857,572000,17.625
3868,574000,19.2
3880,576000,18.875
3891,578000,19.2364
3902,580000,18.9909
3914,582000,19.8
3926,584000,17.875
3937,586000,20.4636
3948,588000,20.9545
3958,590000,22.37
3970,592000,18.1333
3981,594000,21.9364
3992,596000,20.2182
4002,598000,21.86
4015,600000,16.6077
4026,602000,18.9818
4038,604000,19.5083
4050,606000,17.6083
4061,608000,20.1091
4073,610000,17.95
4084,612000,19.7909
4095,614000,21.7636
4106,616000,19.2636
4117,618000,20.4
4129,620000,17.7917
4141,622000,20.1583
4152,624000,20.6455
4163,626000,18.2273
4174,628000,21.6545
4187,630000,18.9385
4199,632000,17.9083
4210,634000,19.3545
4221,636000,21.0
4234,638000,16.7077
4244,640000,20.38
4255,642000,22.9
4264,644000,23.4778
4277,646000,17.5538
4288,648000,21.1182
4298,650000,20.54
4309,652000,20.9091
4318,654000,23.1444
4330,656000,18.4167
4341,658000,20.3364
4352,660000,20.1636
4364,662000,18.9833
4377,664000,17.1308
4388,666000,21.1636
4397,668000,23.3444
4408,670000,21.2636
4419,672000,19.7182
4431,674000,18.7167
4441,676000,22.31
4453,678000,18.125
4463,680000,22.41
4473,682000,23.27
4485,684000,16.8167
4495,686000,23.0
4505,688000,22.71
4516,690000,21.6
4528,692000,18.7167
4539,694000,21.2636
4551,696000,19.5667
